Dataset,Train,Test,Length,Segmentation,Weights,3D_Acc,10D_Acc,NestedCV,NestedCVAcc,NestedCVAccStd,NestedCVF1,NestedCVF1Std,RuntimeSec,BestBaseline,DTW1NN_Acc,ROCKET_Acc,MiniROCKET_Acc,HC2_Acc,Fold_Strategies,BestBaselineAcc,Gap
GunPoint,50,150,150,cpd(1.5),"[0.2, 0.4, 0.4]",0.8267,0.8533,0.9300±0.0100,0.93,0.01,0.93,0.01,243.2,ROCKET (1.0000),0.9067,1.0,0.9933,1.0,"cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5)",1.0,0.06999999999999995
Coffee,28,28,286,fixed(28),"[0.1, 0.8, 0.1]",0.9286,0.9286,1.0000±0.0000,1.0,0.0,1.0,0.0,109.2,DTW-1NN (1.0000),1.0,1.0,1.0,1.0,"fixed(28), fixed(28), fixed(28), fixed(28), fixed(28)",1.0,0.0
ArrowHead,36,175,251,fixed(25),"[0.8, 0.1, 0.1]",0.6857,0.7086,0.8910±0.0241,0.891,0.0241,0.8917,0.0226,298.5,HIVE-COTE 2.0 (0.8710),0.7029,0.8057,0.8514,0.871,"fixed(25), fixed(25), fixed(25), fixed(25), fixed(25)",0.871,-0.020000000000000018
ECG200,100,100,96,cpd(1.5),"[0.4, 0.2, 0.4]",0.8,0.72,0.8000±0.0671,0.8,0.0671,0.7788,0.0673,233.8,ROCKET (0.9200),0.77,0.92,0.91,0.9,"cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5)",0.92,0.12
Chinatown,20,343,24,fixed(10),"[0.1, 0.8, 0.1]",0.93,0.9184,0.9807±0.0140,0.9807,0.014,0.977,0.0165,253.1,HIVE-COTE 2.0 (0.9830),0.9738,0.9825,0.9825,0.983,"fixed(10), fixed(10), fixed(10), fixed(10), fixed(10)",0.983,0.0022999999999999687
ItalyPowerDemand,67,1029,24,cpd(1.5),"[0.1, 0.1, 0.8]",0.9349,0.8863,0.9644±0.0159,0.9644,0.0159,0.9644,0.0159,888.9,HIVE-COTE 2.0 (0.9700),0.9504,0.9699,0.964,0.97,"fixed(10), fixed(10), fixed(10), fixed(10), fixed(10)",0.97,0.005599999999999938
SonyAIBORobotSurface1,20,601,70,fixed(10),"[0.2, 0.6, 0.2]",0.7554,0.7837,0.9742±0.0156,0.9742,0.0156,0.9739,0.0158,712.4,ROCKET (0.9168),0.7255,0.9168,0.8935,,"fixed(10), fixed(10), cpd(1.5), cpd(1.5), fixed(10)",0.9168,-0.05740000000000001
TwoLeadECG,23,1139,82,fixed(10),"[0.1, 0.1, 0.8]",0.6356,0.6778,0.9845±0.0034,0.9845,0.0034,0.9845,0.0034,2014.1,HIVE-COTE 2.0 (1.0000),0.9043,0.9991,0.9982,1.0,"fixed(10), cpd(1.5), cpd(1.5), fixed(10), fixed(10)",1.0,0.015499999999999958
ECGFiveDays,23,861,136,fixed(13),"[0.1, 0.8, 0.1]",0.7898,0.7793,0.9819±0.0109,0.9819,0.0109,0.9819,0.011,1177.8,ROCKET (1.0000),0.7677,1.0,1.0,1.0,"cpd(1.5), fixed(13), cpd(1.5), cpd(1.5), cpd(1.5)",1.0,0.018100000000000005
MoteStrain,20,1252,84,fixed(10),"[0.1, 0.8, 0.1]",0.8618,0.8602,0.9465±0.0138,0.9465,0.0138,0.9462,0.0139,3170.0,MiniROCKET (0.9257),0.8347,0.9153,0.9257,,"fixed(10), fixed(10), fixed(10), fixed(10), fixed(10)",0.9257,-0.02080000000000004
Beef,30,30,470,cpd(1.5),"[0.1, 0.8, 0.1]",0.4333,0.4,0.3667±0.0850,0.3667,0.085,0.3611,0.0493,120.7,MiniROCKET (0.8333),0.6333,0.8,0.8333,,"cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5)",0.8333,0.4666
OliveOil,30,30,570,cpd(1.5),"[0.2, 0.4, 0.4]",0.8667,0.8333,0.7500±0.0745,0.75,0.0745,0.625,0.0445,140.2,ROCKET (0.9333),0.8333,0.9333,0.9333,,"cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5)",0.9333,0.18330000000000002
Meat,60,60,448,cpd(1.5),"[0.3, 0.4, 0.3]",0.8167,0.6833,0.8917±0.0333,0.8917,0.0333,0.8909,0.0348,212.2,MiniROCKET (0.9667),0.9333,0.95,0.9667,,"cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5), cpd(1.5)",0.9667,0.07499999999999996
BeetleFly,20,20,512,fixed(51),"[0.4, 0.2, 0.4]",0.8,0.6,0.7750±0.0935,0.775,0.0935,0.7697,0.0957,65.1,ROCKET (0.9000),0.7,0.9,0.9,,"fixed(51), fixed(51), fixed(51), fixed(51), fixed(51)",0.9,0.125
BirdChicken,20,20,512,fixed(51),"[0.8, 0.1, 0.1]",0.7,0.7,0.8000±0.0612,0.8,0.0612,0.7959,0.0633,64.7,ROCKET (0.9000),0.75,0.9,0.9,,"fixed(51), fixed(51), fixed(51), fixed(51), fixed(51)",0.9,0.09999999999999998
